market,date_started,week_end_date,price_per_quintal,year,month
Madhoganj APMC,2025-11-09,2025-11-15,,2025,11
Mahoba APMC,2025-11-09,2025-11-15,2230.19,2025,11
Maigalganj APMC,2025-11-09,2025-11-15,,2025,11
Mainpuri APMC,2025-11-09,2025-11-15,2098.8,2025,11
Manjhanpur APMC,2025-11-09,2025-11-15,2275.85,2025,11
Mathura APMC,2025-11-09,2025-11-15,1916.19,2025,11
Mauranipur APMC,2025-11-09,2025-11-15,2113.71,2025,11
Mawana APMC,2025-11-09,2025-11-15,1800.0,2025,11
Meerut APMC,2025-11-09,2025-11-15,1936.36,2025,11
Mehmoodabad APMC,2025-11-09,2025-11-15,2076.61,2025,11
Milak APMC,2025-11-09,2025-11-15,,2025,11
Mirzapur APMC,2025-11-09,2025-11-15,1984.86,2025,11
Mohamadabad APMC,2025-11-09,2025-11-15,1776.0,2025,11
Mohammdi APMC,2025-11-09,2025-11-15,,2025,11
Moth APMC,2025-11-09,2025-11-15,,2025,11
Mugrabaadshahpur APMC,2025-11-09,2025-11-15,1930.43,2025,11
Muradabad APMC,2025-11-09,2025-11-15,1964.89,2025,11
Muradnagar APMC,2025-11-09,2025-11-15,,2025,11
Muskara APMC,2025-11-09,2025-11-15,2267.3,2025,11
Muzzafarnagar APMC,2025-11-09,2025-11-15,,2025,11
Naanpara APMC,2025-11-09,2025-11-15,,2025,11
Nagina APMC,2025-11-09,2025-11-15,,2025,11
Najibabad APMC,2025-11-09,2025-11-15,,2025,11
Naugarh APMC,2025-11-09,2025-11-15,,2025,11
Nautnava APMC,2025-11-09,2025-11-15,,2025,11
Nawabganj APMC,2025-11-09,2025-11-15,2496.67,2025,11
Noida APMC,2025-11-09,2025-11-15,1963.3,2025,11
Orai APMC,2025-11-09,2025-11-15,,2025,11
Paliakala APMC,2025-11-09,2025-11-15,,2025,11
Panchpedwa APMC,2025-11-09,2025-11-15,1350.0,2025,11
Parikshitgarh APMC,2025-11-09,2025-11-15,,2025,11
Partaval APMC,2025-11-09,2025-11-15,,2025,11
Payagpur APMC,2025-11-09,2025-11-15,4011.11,2025,11
Pilibhit APMC,2025-11-09,2025-11-15,2142.83,2025,11
Powayan APMC,2025-11-09,2025-11-15,1950.0,2025,11
Pratapgarh APMC,2025-11-09,2025-11-15,2191.43,2025,11
Pukharayan APMC,2025-11-09,2025-11-15,,2025,11
Puranpur APMC,2025-11-09,2025-11-15,2045.0,2025,11
Purwa APMC,2025-11-09,2025-11-15,,2025,11
Puwaha APMC,2025-11-09,2025-11-15,,2025,11
Raibareilly APMC,2025-11-09,2025-11-15,2368.39,2025,11
Rampur APMC,2025-11-09,2025-11-15,1939.19,2025,11
Rampurmaniharan APMC,2025-11-09,2025-11-15,,2025,11
Rasda APMC,2025-11-09,2025-11-15,2585.42,2025,11
Robertsganj APMC,2025-11-09,2025-11-15,2114.79,2025,11
Rudauli APMC,2025-11-09,2025-11-15,,2025,11
Safdarganj APMC,2025-11-09,2025-11-15,2079.41,2025,11
Saharanpur APMC,2025-11-09,2025-11-15,,2025,11
Sahiyapur APMC,2025-11-09,2025-11-15,,2025,11
Salon APMC,2025-11-09,2025-11-15,,2025,11
Sambhal APMC,2025-11-09,2025-11-15,2104.69,2025,11
Samsabad APMC,2025-11-09,2025-11-15,,2025,11
Sandi APMC,2025-11-09,2025-11-15,,2025,11
Sandila APMC,2025-11-09,2025-11-15,1975.0,2025,11
Sardhana APMC,2025-11-09,2025-11-15,,2025,11
